track,collection,file_name,series_id,model,source_model_dir,auc_roc,aff_f1,alpha,sae_score,Short,Medium,Long,Total,source_bundle_tag,source_bundle_output_dir,source_slice_tag,source_slice_output_dir
multi,GHL,035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,035_GHL_id_4_Sensor_tr_50000_1st_90001,HBOS,HBOS,0.3287845383922016,0.0,1.0,0.0,0,0,3,3,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,036_GHL_id_5_Sensor_tr_50000_1st_67147,HBOS,HBOS,0.4483305877929639,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,037_GHL_id_6_Sensor_tr_50000_1st_80001,HBOS,HBOS,0.564045717743467,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,038_GHL_id_7_Sensor_tr_50000_1st_100001,HBOS,HBOS,0.40438651514016943,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,039_GHL_id_8_Sensor_tr_50000_1st_63030,HBOS,HBOS,0.24335028711021964,0.0,1.0,0.0,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,041_GHL_id_10_Sensor_tr_50000_1st_57001,HBOS,HBOS,0.22479939715012615,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,042_GHL_id_11_Sensor_tr_50000_1st_150001,HBOS,HBOS,0.3646978161797949,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,043_GHL_id_12_Sensor_tr_39938_1st_40038,HBOS,HBOS,0.9358062080920073,0.0,1.0,0.0,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,044_GHL_id_13_Sensor_tr_50000_1st_145001,HBOS,HBOS,0.5377301381039878,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,045_GHL_id_14_Sensor_tr_50000_1st_85076,HBOS,HBOS,0.7834850168770582,0.0,1.0,0.0,0,0,2,2,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,046_GHL_id_15_Sensor_tr_50000_1st_156462,HBOS,HBOS,0.9984289881078972,0.517061814617411,1.0,0.517061814617411,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,047_GHL_id_16_Sensor_tr_50000_1st_77001,HBOS,HBOS,0.4766274981216393,0.0,1.0,0.0,0,0,3,3,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,048_GHL_id_17_Sensor_tr_50000_1st_154001,HBOS,HBOS,0.6926833023492049,0.0,1.0,0.0,0,0,4,4,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,050_GHL_id_19_Sensor_tr_43750_1st_55001,HBOS,HBOS,0.785701988667554,0.0,1.0,0.0,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,051_GHL_id_20_Sensor_tr_50000_1st_75110,HBOS,HBOS,0.22875559199402692,0.0,1.0,0.0,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
multi,GHL,052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,052_GHL_id_21_Sensor_tr_50000_1st_98001,HBOS,HBOS,0.2079700812586772,0.0,1.0,0.0,0,0,1,1,tsbad_bundle_multi_classical_multi_a_0000_0050,<REPO_ROOT>/experiments/results/tsbad_scaleup_from_bundles/tsbad_bundle_multi_classical_multi_a_0000_0050,multi_0000_0050_all_available_complete_no_kshape,<REPO_ROOT>/experiments/results/tsbad_scaleup_merged/multi_0000_0050_all_available_complete_no_kshape
